ptr[0] = 0 0
ptr[1] = 131 0
ptr[2] = 755 0
ptr[3] = 458 0
ptr[4] = 532 0
ptr[5] = 218 0
ptr[6] = 47 0
ptr[7] = 678 0
ptr[8] = 679 0
ptr[9] = 934 0
ptr[10] = 383 0
ptr[11] = 519 0
ptr[12] = 830 0
ptr[13] = 34 0
ptr[14] = 53 0
ptr[15] = 529 0
ptr[16] = 671 0
ptr[17] = 7 0
ptr[18] = 383 0
ptr[19] = 66 0
ptr[20] = 417 0
ptr[21] = 686 0
ptr[22] = 588 0
ptr[23] = 930 0
ptr[24] = 846 0
ptr[25] = 526 0
ptr[26] = 91 0
ptr[27] = 653 0
ptr[28] = 415 0
ptr[29] = 701 0
ptr[30] = 910 0
ptr[31] = 762 0
ptr[32] = 262 0
ptr[33] = 47 0
ptr[34] = 736 0
ptr[35] = 328 0
ptr[36] = 632 0
ptr[37] = 756 0
ptr[38] = 991 0
ptr[39] = 365 0
ptr[40] = 247 0
ptr[41] = 982 0
ptr[42] = 722 0
ptr[43] = 753 0
ptr[44] = 651 0
ptr[45] = 72 0
ptr[46] = 631 0
ptr[47] = 884 0
ptr[48] = 272 0
ptr[49] = 436 0
ptr[50] = 766 0
ptr[51] = 477 0
ptr[52] = 237 0
ptr[53] = 274 0
ptr[54] = 359 0
ptr[55] = 166 0
ptr[56] = 486 0
ptr[57] = 897 0
ptr[58] = 909 0
ptr[59] = 60 0
ptr[60] = 904 0
ptr[61] = 504 0
ptr[62] = 516 0
ptr[63] = 319 0
ptr[64] = 986 0
ptr[65] = 493 0
ptr[66] = 266 0
ptr[67] = 90 0
ptr[68] = 947 1
ptr[69] = 73 0
ptr[70] = 500 0
ptr[71] = 384 0
ptr[72] = 277 0
ptr[73] = 913 0
ptr[74] = 529 0
ptr[75] = 464 0
ptr[76] = 940 0
ptr[77] = 50 0
ptr[78] = 761 0
ptr[79] = 770 0
ptr[80] = 827 0
ptr[81] = 125 0
ptr[82] = 15 0
ptr[83] = 688 0
ptr[84] = 868 0
ptr[85] = 629 0
ptr[86] = 736 0
ptr[87] = 725 0
ptr[88] = 999 0
ptr[89] = 888 0
ptr[90] = 233 0
ptr[91] = 306 0
ptr[92] = 351 0
ptr[93] = 513 0
ptr[94] = 591 0
ptr[95] = 845 0
ptr[96] = 412 0
ptr[97] = 841 0
ptr[98] = 269 0
ptr[99] = 415 0
12 12 12
123
124
